qemu-ui-dbus 10.0.0-5
qemu-ui-egl-headless 10.0.0-5
qemu-ui-gtk 10.0.0-5
qemu-ui-opengl 10.0.0-5
qemu-ui-sdl 10.0.0-5
qemu-ui-spice-app 10.0.0-5
qemu-ui-spice-core 10.0.0-5
qemu-vhost-user-gpu 10.0.0-5
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-graphicaleffects 5.15.17-1
qt5-quickcontrols 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-x11extras 5.15.17-1
qt6-base 6.9.1-1
qt6-declarative 6.9.1-1
qt6-svg 6.9.1-1
qt6-translations 6.9.1-1
qt6-wayland 6.9.1-1
qtractor 1.5.6-1
raptor 2.0.16-7
rasqal 1:0.9.33-7
rav1e 0.7.1-1
rclone 1.69.3-1
re2 1:20240702-5
readline 8.2.013-2
redland 1:1.0.17-9
reflector 2023-3
rhash 1.4.4-1
rnnoise 1:0.2-1
rofi-wayland 1.7.9.1-1
rtkit 0.13-3
rubberband 4.0.0-1
rust 1:1.87.0-1
rutabaga-ffi 0.1.6-2
sbc 2.0-2
sbctl 0.17-1
scdoc 1.11.3-1
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sddm-sugar-candy-git 1.6r42.d31dbf5-1
sdl2-compat 2.32.56-1
sdl2_image 2.8.8-1
sdl3 3.2.16-1
seabios 1.16.3-1
seatd 0.9.1-1
sed 4.9-3
serd 0.32.4-1
shaderc 2025.2-2
shadow 4.17.4-1
shared-mime-info 2.4-2
slang 2.3.3-3
slurp 1.5.0-1
snappy 1.2.2-2
sndio 1.10.0-1
sof-firmware 2025.01.1-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spdlog 1.15.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-1
spice-gtk 0.42-4
spice-protocol 0.14.5-1
spirv-tools 1:1.4.313.0-1
sqlite 3.50.1-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
sudo 1.9.16.p2-2
svt-av1 3.0.2-1
swappy 1.5.1-2
systemd 257.6-1
systemd-libs 257.6-1
systemd-sysvcompat 257.6-1
taglib 2.1-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.13-1
tela-circle-icon-theme-blue 2025_02_10-1
terminus-font 4.49.1-7
texinfo 7.2-1
thermald 2.5.9-3
thunar 4.20.3-1
thunar-volman 4.20.0-2
tinysparql 3.9.2-2
tk 8.6.16-1
tlp 1.8.0-1
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tslib 1.23-1
ttf-cousine-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-roboto-mono-nerd 3.4.0-1
tumbler 4.20.0-3
twolame 0.4.0-4
tzdata 2025b-1
udiskie 2.5.7-1
udisks2 2.10.1-5
unrar 1:7.1.6-1
unzip 6.0-22
upower 1.90.9-1
usbredir 0.15.0-1
usbutils 018-1
util-linux 2.41-4
util-linux-libs 2.41-4
v4l-utils 1.30.1-1
vapoursynth R70-2
vde2 2.3.3-6
vid.stab 1.1.1-2
vim-runtime 9.1.1431-1
